run_name,stage,family,representation,best_epoch,best_val_loss,best_val_mse,best_val_kl,best_val_action_loss,best_val_no_action_loss,best_val_gain,legacy,notes,render_root,config_path,output_dir,checkpoint_path,git_commit
humanml_lam_debug,lam,feature_mlp,humanml_feature_vector,1,0.028240468640855006,0.027841481876110973,0.3989868437748375,,,,True,Previous baseline before joint-position spatiotemporal transformer refactor.,,/work/adamotion/configs/humanml_lam_debug.yaml,/work/adamotion/experiments/humanml_lam_debug,/work/adamotion/experiments/humanml_lam_debug/lam_best.pt,8b86dcdddcdc249c85090f0dd0bbe8bd891e7fb2
humanml_world_debug,world_model,feature_mlp,humanml_feature_vector,1,,,,0.014138327111059557,0.012434584057014643,-0.0017037430540449148,True,Previous baseline before joint-position spatiotemporal transformer refactor.,,/work/adamotion/configs/humanml_world_debug.yaml,/work/adamotion/experiments/humanml_world_debug,/work/adamotion/experiments/humanml_world_debug/world_best.pt,8b86dcdddcdc249c85090f0dd0bbe8bd891e7fb2
humanml_feature_mlp_lam_debug,lam,feature_mlp,humanml_feature_vector,4,0.006464823236245485,0.00636308968729443,0.1017335126239156,,,,False,,,/work/adamotion/configs/humanml_feature_mlp_lam_debug.yaml,/work/adamotion/experiments/paper/humanml_feature_mlp_lam_debug,/work/adamotion/experiments/paper/humanml_feature_mlp_lam_debug/lam_last.pt,8b86dcdddcdc249c85090f0dd0bbe8bd891e7fb2
humanml_feature_mlp_world_debug,world_model,feature_mlp,humanml_feature_vector,4,,,,0.006048036974216204,0.005989757514711155,-5.8279459505048515e-05,False,,/work/adamotion/experiments/paper/humanml_feature_mlp_world_debug/renders,/work/adamotion/configs/humanml_feature_mlp_world_debug.yaml,/work/adamotion/experiments/paper/humanml_feature_mlp_world_debug,/work/adamotion/experiments/paper/humanml_feature_mlp_world_debug/world_last.pt,8b86dcdddcdc249c85090f0dd0bbe8bd891e7fb2
