epoch,train_action_loss,train_no_action_loss,val_action_loss,val_no_action_loss,val_gain
0,0.04926376614664028,0.04827423032317588,0.01971104243846789,0.019181470363021497,-0.0005295720754463894
1,0.017560008607471166,0.01742439735124805,0.012132451201439248,0.01172286773010519,-0.0004095834713340579
2,0.011837400148497589,0.011784632815353906,0.008769254162074983,0.008569288855927533,-0.00019996530614744954
3,0.009118076156713624,0.009179795793354956,0.007095555054465686,0.006998237123888821,-9.73179305768649e-05
4,0.007577962158664839,0.00770004992303786,0.006048036974216204,0.005989757514711155,-5.8279459505048515e-05
