epoch,train_loss,train_mse,train_kl,val_loss,val_mse,val_kl
0,0.05332033925491278,0.053101363943004215,0.2189755686406107,0.02373836731555916,0.02362146479388078,0.1169025765827724
1,0.019032560319441262,0.018874464144350074,0.1580962985754013,0.014397093297588447,0.014242748569992799,0.1543447593961443
2,0.012658050482268215,0.012501544349628394,0.156506069615239,0.009828086606448605,0.009683687142672993,0.14439943485411386
3,0.009521386463989,0.009390875391784261,0.13051111006834468,0.007729341014391846,0.007610717498239071,0.11862352539527984
4,0.007796999746475552,0.0076871394011817995,0.10986034743121413,0.006464823236245485,0.00636308968729443,0.1017335126239156
